region,lga,ward,gps_height_imputed_ward
Arusha,Arusha Rural,Bangata,1619.1515151515152
Arusha,Arusha Rural,Bwawani,964.5135135135135
Arusha,Arusha Rural,Ilkiding'a,1669.5
Arusha,Arusha Rural,Kimnyaki,1559.0379746835442
Arusha,Arusha Rural,Kiranyi,1388.104347826087
Arusha,Arusha Rural,Kisongo,1368.2121212121212
Arusha,Arusha Rural,Mateves,1358.6818181818182
Arusha,Arusha Rural,Mlangarini,1152.891304347826
Arusha,Arusha Rural,Moivo,1463.9545454545455
Arusha,Arusha Rural,Moshono,1269.2272727272727
Arusha,Arusha Rural,Murieti,1502.0689655172414
Arusha,Arusha Rural,Musa,1588.0689655172414
Arusha,Arusha Rural,Mwandeti,1713.9411764705883
Arusha,Arusha Rural,Nduruma,986.3073170731707
Arusha,Arusha Rural,Oldonyosambu,1784.5324675324675
Arusha,Arusha Rural,Oljoro,1014.875
Arusha,Arusha Rural,Olkokola,1825.9924812030076
Arusha,Arusha Rural,Oltroto,1590.5333333333333
Arusha,Arusha Rural,Oltrumet,1540.4615384615386
Arusha,Arusha Rural,Sokoni II,1525.857142857143
Arusha,Arusha Urban,Baraa,1421.5
Arusha,Arusha Urban,Daraja Mbili,1342.0
Arusha,Arusha Urban,Elerai,1387.5454545454545
Arusha,Arusha Urban,Engutoto,1309.0
Arusha,Arusha Urban,Kaloleni,1424.2
Arusha,Arusha Urban,Kimandolu,1392.0
Arusha,Arusha Urban,Lemara,1271.25
Arusha,Arusha Urban,Levolosi,1411.0
Arusha,Arusha Urban,Ngarenaro,1388.0
Arusha,Arusha Urban,Olorien,1351.75
Arusha,Arusha Urban,Sekei,1420.3333333333333
Arusha,Arusha Urban,Sokon I,1318.0
Arusha,Arusha Urban,Sombetini,1350.5
Arusha,Arusha Urban,Terrat,1214.75
Arusha,Arusha Urban,Themi,1325.0
Arusha,Arusha Urban,Unga Ltd,1366.0
Arusha,Karatu,Barray,1084.75
Arusha,Karatu,Daa,1474.4705882352941
Arusha,Karatu,Endabash,1427.95
Arusha,Karatu,Kansay,1684.0
Arusha,Karatu,Karatu,1503.15
Arusha,Karatu,Mang'ola,1038.9565217391305
Arusha,Karatu,Mbulumbulu,1662.8255813953488
Arusha,Karatu,Oldeani,1481.75
Arusha,Karatu,Qurus,1499.3492063492063
Arusha,Karatu,Rhotia,1561.52
Arusha,Longido,Engarenaibor,1673.6764705882354
Arusha,Longido,Gelai Lumbwa,1244.142857142857
Arusha,Longido,Gelai Meirugoi,1098.111111111111
Arusha,Longido,Ketumbeine,1526.5294117647059
Arusha,Longido,Longido,1358.8823529411766
Arusha,Longido,Matare,1572.5714285714287
Arusha,Longido,Namanga,1324.4375
Arusha,Longido,Olmolog,1673.030303030303
Arusha,Longido,Tingatinga,1177.5714285714287
Arusha,Meru,Akheri,1369.9555555555555
Arusha,Meru,Kikatiti,1182.7910447761194
Arusha,Meru,Kikwe,1046.904761904762
Arusha,Meru,King'ori,1092.375
Arusha,Meru,Leguruki,1411.2164948453608
Arusha,Meru,Maji ya Chai,1248.5157894736842
Arusha,Meru,Makiba,916.5714285714286
Arusha,Meru,Maroroni,998.0
Arusha,Meru,Mbuguni,922.8095238095239
Arusha,Meru,Ngarenanyuki,1492.4825581395348
Arusha,Meru,Nkoanrua,1323.162162162162
Arusha,Meru,Nkoaranga,1316.0217391304348
Arusha,Meru,Nkoarisambu,1500.388888888889
Arusha,Meru,Poli,1345.4285714285713
Arusha,Meru,Singisi,1361.2222222222222
Arusha,Meru,Songoro,1587.3529411764705
Arusha,Meru,USA River,1158.5555555555557
Arusha,Monduli,Engaruka,861.1428571428571
Arusha,Monduli,Engutoto,1566.1666666666667
Arusha,Monduli,Esilalei,979.1111111111111
Arusha,Monduli,Lolkisale,1374.1
Arusha,Monduli,Makuyuni,1078.6904761904761
Arusha,Monduli,Moita,1242.3333333333333
Arusha,Monduli,Monduli Juu,1609.25
Arusha,Monduli,Selela,1036.2727272727273
Arusha,Monduli,Sepeko,1376.1875
Arusha,Ngorongoro,Arash,1891.25
Arusha,Ngorongoro,Digodigo,1297.75
Arusha,Ngorongoro,Endulen,1623.7916666666667
Arusha,Ngorongoro,Kakesio,1641.0
Arusha,Ngorongoro,Malambo,1274.3636363636363
Arusha,Ngorongoro,Nainokanoka,2540.590909090909
Arusha,Ngorongoro,Naiyobi,2316.25
Arusha,Ngorongoro,Ngorongoro,2358.3
Arusha,Ngorongoro,Olbalbal,1441.9166666666667
Arusha,Ngorongoro,Oldonyo Sambu,1197.0
Arusha,Ngorongoro,Olgosorok,2102.6071428571427
Arusha,Ngorongoro,Pinyinyi,644.1
Arusha,Ngorongoro,Sale,1244.2857142857142
Arusha,Ngorongoro,Soit Sambu,1961.8636363636363
Dar es Salaam,Ilala,Chanika,66.66883116883118
Dar es Salaam,Ilala,Kinyerezi,62.88235294117647
Dar es Salaam,Ilala,Kitunda,18.4559585492228
Dar es Salaam,Ilala,Msongola,25.775862068965516
Dar es Salaam,Ilala,Pugu,65.15068493150685
Dar es Salaam,Kinondoni,Bunju,46.0
Dar es Salaam,Kinondoni,Goba,82.48484848484848
Dar es Salaam,Kinondoni,Kibamba,127.55555555555556
Dar es Salaam,Kinondoni,Kunduchi,58.666666666666664
Dar es Salaam,Kinondoni,Mbezi,75.5
Dar es Salaam,Kinondoni,Mbweni,-14.666666666666666
Dar es Salaam,Temeke,Chamazi,19.0
Dar es Salaam,Temeke,Kibada,7.166666666666667
Dar es Salaam,Temeke,Kimbiji,-11.8
Dar es Salaam,Temeke,Kisarawe II,23.61764705882353
Dar es Salaam,Temeke,Mji Mwema,-27.76923076923077
Dar es Salaam,Temeke,Pemba Mnazi,-16.782608695652176
Dar es Salaam,Temeke,Somangira,-22.75
Dar es Salaam,Temeke,Vijibweni,-20.125
Dodoma,Bahi,Babayu,
Dodoma,Bahi,Bahi,
Dodoma,Bahi,Chali,
Dodoma,Bahi,Chibelela,
Dodoma,Bahi,Chikola,
Dodoma,Bahi,Chipanga,
Dodoma,Bahi,Ibihwa,
Dodoma,Bahi,Ibugule,
Dodoma,Bahi,Ilindi,
Dodoma,Bahi,Kigwe,
Dodoma,Bahi,Lamaiti,
Dodoma,Bahi,Makanda,
Dodoma,Bahi,Mpalanga,
Dodoma,Bahi,Mpamantwa,
Dodoma,Bahi,Msisi,
Dodoma,Bahi,Mtitaa,
Dodoma,Bahi,Mundemu,
Dodoma,Bahi,Mwitikira,
Dodoma,Bahi,Nondwa,
Dodoma,Bahi,Zanka,
Dodoma,Chamwino,Chilionwa,
Dodoma,Chamwino,Chinugulu,
Dodoma,Chamwino,Dabalo,
Dodoma,Chamwino,Fufu,
Dodoma,Chamwino,Handali,
Dodoma,Chamwino,Haneti,
Dodoma,Chamwino,Huzi,
Dodoma,Chamwino,Idifu,
Dodoma,Chamwino,Igandu,
Dodoma,Chamwino,Ikowa,
Dodoma,Chamwino,Iringa Mvumi,
Dodoma,Chamwino,Itiso,
Dodoma,Chamwino,Majeleko,
Dodoma,Chamwino,Makang'wa,
Dodoma,Chamwino,Manchali,
Dodoma,Chamwino,Manda,
Dodoma,Chamwino,Manzase,
Dodoma,Chamwino,Membe,
Dodoma,Chamwino,Mlowa Bwawani,
Dodoma,Chamwino,Mphwayungu,
Dodoma,Chamwino,Msamalo,
Dodoma,Chamwino,Muungano,
Dodoma,Chamwino,Mvumi Makulu,
Dodoma,Chamwino,Mvumi Mission,
Dodoma,Chamwino,Nghambaku,
Dodoma,Chamwino,Segala,
Dodoma,Dodoma Urban,Chihanga,
Dodoma,Dodoma Urban,Hombolo,
Dodoma,Dodoma Urban,Ipala,
Dodoma,Dodoma Urban,Kikombo,
Dodoma,Dodoma Urban,Makutopora,
Dodoma,Dodoma Urban,Mbabala,
Dodoma,Dodoma Urban,Mbalawala,
Dodoma,Dodoma Urban,Mkonze,
Dodoma,Dodoma Urban,Mpunguzi,
Dodoma,Dodoma Urban,Msalato,
Dodoma,Dodoma Urban,Mtumba,
Dodoma,Dodoma Urban,Nala,
Dodoma,Dodoma Urban,Ngh'ong'ona,
Dodoma,Dodoma Urban,Nzuguni,
Dodoma,Dodoma Urban,Tambuka Reli,
Dodoma,Dodoma Urban,Zuzu,
Dodoma,Kondoa,Bereko,
Dodoma,Kondoa,Bumbuta,
Dodoma,Kondoa,Busi,
Dodoma,Kondoa,Chandama,
Dodoma,Kondoa,Changaa,
Dodoma,Kondoa,Chemba,
Dodoma,Kondoa,Dalai,
Dodoma,Kondoa,Farkwa,
Dodoma,Kondoa,Goima,
Dodoma,Kondoa,Gwandi,
Dodoma,Kondoa,Haubi,
Dodoma,Kondoa,Jangalo,
Dodoma,Kondoa,Kalamba,
Dodoma,Kondoa,Kikore,
Dodoma,Kondoa,Kingale,
Dodoma,Kondoa,Kisese,
Dodoma,Kondoa,Kolo,
Dodoma,Kondoa,Kwadelo,
Dodoma,Kondoa,Kwamtoro,
Dodoma,Kondoa,Lalta,
Dodoma,Kondoa,Makorongo,
Dodoma,Kondoa,Masange,
Dodoma,Kondoa,Mnenia,
Dodoma,Kondoa,Mondo,
Dodoma,Kondoa,Mpendo,
Dodoma,Kondoa,Mrijo,
Dodoma,Kondoa,Ovada,
Dodoma,Kondoa,Pahi,
Dodoma,Kondoa,Paranga,
Dodoma,Kondoa,Sanzawa,
Dodoma,Kondoa,Soera,
Dodoma,Kondoa,Suruke,
Dodoma,Kondoa,Thawi,
Dodoma,Kongwa,Chamkoroma,
Dodoma,Kongwa,Hogoro,
Dodoma,Kongwa,Iduo,
Dodoma,Kongwa,Kibaigwa,
Dodoma,Kongwa,Kongwa Urban,
Dodoma,Kongwa,Mkoka,
Dodoma,Kongwa,Mlali,
Dodoma,Kongwa,Mtanana,
Dodoma,Kongwa,Njoge,
Dodoma,Kongwa,Pandambili,
Dodoma,Kongwa,Sagara,
Dodoma,Kongwa,Sejeli,
Dodoma,Kongwa,Ugogoni,
Dodoma,Kongwa,Zoissa,
Dodoma,Mpwapwa,Berege,
Dodoma,Mpwapwa,Chunyu,
Dodoma,Mpwapwa,Gode Gode,
Dodoma,Mpwapwa,Ipera,
Dodoma,Mpwapwa,Kibakwe,
Dodoma,Mpwapwa,Kimagai,
Dodoma,Mpwapwa,Luhundwa,
Dodoma,Mpwapwa,Lumuma,
Dodoma,Mpwapwa,Massa,
Dodoma,Mpwapwa,Matomondo,
Dodoma,Mpwapwa,Mazae,
Dodoma,Mpwapwa,Mbuga,
Dodoma,Mpwapwa,Mima,
Dodoma,Mpwapwa,Mlunduzi,
Dodoma,Mpwapwa,Rudi,
Dodoma,Mpwapwa,Vinghawe,
Dodoma,Mpwapwa,Wotta,
Iringa,Iringa Rural,Idodi,927.3555555555556
Iringa,Iringa Rural,Ifunda,1734.8260869565217
Iringa,Iringa Rural,Ilolo Mpya,739.7428571428571
Iringa,Iringa Rural,Itunundu,711.9333333333333
Iringa,Iringa Rural,Izazi,691.9615384615385
Iringa,Iringa Rural,Kalenga,1493.7826086956522
Iringa,Iringa Rural,Kihorogota,1217.642857142857
Iringa,Iringa Rural,Kiwere,1381.774193548387
Iringa,Iringa Rural,Lumuli,1748.6
Iringa,Iringa Rural,Maboga,1707.88
Iringa,Iringa Rural,Magulilwa,1632.3225806451612
Iringa,Iringa Rural,Mahuninga,1020.1379310344828
Iringa,Iringa Rural,Malenga Makali,994.275
Iringa,Iringa Rural,Mgama,1701.375
Iringa,Iringa Rural,Mlowa,891.0
Iringa,Iringa Rural,Mseke,1635.032258064516
Iringa,Iringa Rural,Nduli,1305.142857142857
Iringa,Iringa Rural,Nzihi,1406.576923076923
Iringa,Iringa Rural,Ulanda,1468.7575757575758
Iringa,Iringa Rural,Wasa,1691.5
Iringa,Kilolo,Boma la ng'ombe,1917.0675675675675
Iringa,Kilolo,Dabaga,1905.4444444444443
Iringa,Kilolo,Idete,1659.5714285714287
Iringa,Kilolo,Ilula,1355.5
Iringa,Kilolo,Image,1424.0535714285713
Iringa,Kilolo,Irole,1475.7169811320755
Iringa,Kilolo,Mahenge,571.448275862069
Iringa,Kilolo,Mtitu,1735.4285714285713
Iringa,Kilolo,Udekwa,1334.842105263158
Iringa,Kilolo,Uhambingeto,1383.3076923076924
Iringa,Kilolo,Ukumbi,1824.955223880597
Iringa,Kilolo,Ukwega,1487.5384615384614
Iringa,Ludewa,Ibumi,1110.111111111111
Iringa,Ludewa,Luana,1361.9705882352941
Iringa,Ludewa,Ludende,1667.0625
Iringa,Ludewa,Ludewa,1376.923076923077
Iringa,Ludewa,Lugarawa,1472.095238095238
Iringa,Ludewa,Luilo,809.3333333333334
Iringa,Ludewa,Lupanga,1717.4545454545455
Iringa,Ludewa,Madilu,1973.5
Iringa,Ludewa,Madope,2076.4166666666665
Iringa,Ludewa,Manda,485.5
Iringa,Ludewa,Masasi,704.6666666666666
Iringa,Ludewa,Mavanga,1099.439024390244
Iringa,Ludewa,Mawengi,1690.877192982456
Iringa,Ludewa,Mlangali,1759.49
Iringa,Ludewa,Mundindi,1429.9722222222222
Iringa,Ludewa,Nkomang'ombe,1124.7692307692307
Iringa,Makete,Bulongwa,2033.1176470588234
Iringa,Makete,Ikuwo,2172.1111111111113
Iringa,Makete,Iniho,2145.24
Iringa,Makete,Ipelele,2354.5384615384614
Iringa,Makete,Ipepo,1808.1162790697674
Iringa,Makete,Iwawa,2252.5185185185187
Iringa,Makete,Kipagalo,2089.6521739130435
Iringa,Makete,Kitulo,2409.185185185185
Iringa,Makete,Lupalilo,2051.2982456140353
Iringa,Makete,Lupila,1853.445945945946
Iringa,Makete,Mang'oto,2330.7704918032787
Iringa,Makete,Matamba,2110.2
Iringa,Makete,Mfumbi,1069.8
Iringa,Makete,Mlondwe,2131.9
Iringa,Makete,Ukwama,2030.3714285714286
Iringa,Mufindi,Bumilayinga,1866.3793103448277
Iringa,Mufindi,Idunda,1396.875
Iringa,Mufindi,Igombavanu,1660.8823529411766
Iringa,Mufindi,Igowole,1886.9761904761904
Iringa,Mufindi,Ihalimba,1877.107142857143
Iringa,Mufindi,Ihowanza,1381.7692307692307
Iringa,Mufindi,Ikweha,1577.0
Iringa,Mufindi,Isalavanu,1713.6666666666667
Iringa,Mufindi,Itandula,1636.2
Iringa,Mufindi,Kasanga,1896.75
Iringa,Mufindi,Kibengu,1918.2916666666667
Iringa,Mufindi,Kiyowela,1286.5
Iringa,Mufindi,Luhunga,1921.76
Iringa,Mufindi,Mafinga,1882.16
Iringa,Mufindi,Malangali,1392.65
Iringa,Mufindi,Mbalamaziwa,1673.54
Iringa,Mufindi,Mninga,1899.0
Iringa,Mufindi,Mtambula,1699.96
Iringa,Mufindi,Mtwango,1978.0
Iringa,Mufindi,Nyololo,1728.4918032786886
Iringa,Mufindi,Rungemba,1786.0333333333333
Iringa,Mufindi,Sadani,1518.6153846153845
Iringa,Njombe,Idamba,1596.423076923077
Iringa,Njombe,Igongolo,1689.984496124031
Iringa,Njombe,Igosi,2112.7133550488597
Iringa,Njombe,Ikondo,1239.391304347826
Iringa,Njombe,Ikuka,1660.123076923077
Iringa,Njombe,Ilembula,1477.357142857143
Iringa,Njombe,Imalinyi,1904.218253968254
Iringa,Njombe,Iwungilo,1856.5714285714287
Iringa,Njombe,Kidegembye,1672.2745098039215
Iringa,Njombe,Kifanya,1666.5568181818182
Iringa,Njombe,Luduga,1489.4107142857142
Iringa,Njombe,Lupembe,1580.987951807229
Iringa,Njombe,Luponde,1938.5675675675675
Iringa,Njombe,Mahongole,1540.061403508772
Iringa,Njombe,Makambako,1602.047619047619
Iringa,Njombe,Matola,2108.6275862068965
Iringa,Njombe,Mdandu,1797.6060606060605
Iringa,Njombe,Mtwango,1728.3066666666666
Iringa,Njombe,Njombe Urban,1967.1666666666667
Iringa,Njombe,Saja,1384.0
Iringa,Njombe,Usuka,1589.374331550802
Iringa,Njombe,Uwemba,2039.7977528089887
Iringa,Njombe,Wangama,2111.9791666666665
Iringa,Njombe,Wanging'ombe,1376.611510791367
Iringa,Njombe,Yakobi,1690.6206896551723
Kagera,Biharamulo,Biharamulo Urban,
Kagera,Biharamulo,Kalenge,
Kagera,Biharamulo,Lusahunga,
Kagera,Biharamulo,Nyabusozi,
Kagera,Biharamulo,Nyakahura,
Kagera,Biharamulo,Nyamigogo,
Kagera,Biharamulo,Nyarubungo,
Kagera,Biharamulo,Runazi,
Kagera,Bukoba Rural,Buhendangabo,
Kagera,Bukoba Rural,Bujugo,
Kagera,Bukoba Rural,Buterankuzi,
Kagera,Bukoba Rural,Ibwera,
Kagera,Bukoba Rural,Izimbya,
Kagera,Bukoba Rural,Kaagya,
Kagera,Bukoba Rural,Kabaragaine,
Kagera,Bukoba Rural,Kaibanja,
Kagera,Bukoba Rural,Kanyangereko,
Kagera,Bukoba Rural,Kasharu,
Kagera,Bukoba Rural,Katerero,
Kagera,Bukoba Rural,Katoma,
Kagera,Bukoba Rural,Katoro,
Kagera,Bukoba Rural,Kibirizi,
Kagera,Bukoba Rural,Kikomero,
Kagera,Bukoba Rural,Kishanje,
Kagera,Bukoba Rural,Kyamuraile,
Kagera,Bukoba Rural,Maruku,
Kagera,Bukoba Rural,Mikoni,
Kagera,Bukoba Rural,Nyakato,
Kagera,Bukoba Rural,Nyakibimbili,
Kagera,Bukoba Rural,Rubafu,
Kagera,Bukoba Rural,Rubale,
Kagera,Bukoba Rural,Ruhunga,
Kagera,Bukoba Urban,Bukembe,
Kagera,Bukoba Urban,Ijunganyondo,
Kagera,Bukoba Urban,Kagondo,
Kagera,Bukoba Urban,Kahororo,
Kagera,Bukoba Urban,Kibeta,
Kagera,Bukoba Urban,Kitendaguru,
Kagera,Bukoba Urban,Nishambya,
Kagera,Bukoba Urban,Nyanga,
Kagera,Chato,Bukome,
Kagera,Chato,Buseresere,
Kagera,Chato,Buziku,
Kagera,Chato,Bwanga,
Kagera,Chato,Bwera,
Kagera,Chato,Chato,
Kagera,Chato,Ichwankima,
Kagera,Chato,Ilemela,
Kagera,Chato,Kachwamba,
Kagera,Chato,Katende,
Kagera,Chato,Kigongo,
Kagera,Chato,Makurugusi,
Kagera,Chato,Muganza,
Kagera,Chato,Nyamirembe,
Kagera,Karagwe,Bugene,
Kagera,Karagwe,Bugomora,
Kagera,Karagwe,Bweranyange,
Kagera,Karagwe,Igurwa,
Kagera,Karagwe,Ihanda,
Kagera,Karagwe,Ihembe,
Kagera,Karagwe,Isingiro,
Kagera,Karagwe,Kaisho,
Kagera,Karagwe,Kamuli,
Kagera,Karagwe,Kayanga,
Kagera,Karagwe,Kibingo,
Kagera,Karagwe,Kibondo,
Kagera,Karagwe,Kihanga,
Kagera,Karagwe,Kimuli,
Kagera,Karagwe,Kiruruma,
Kagera,Karagwe,Kituntu,
Kagera,Karagwe,Kyerwa,
Kagera,Karagwe,Mabira,
Kagera,Karagwe,Murongo,
Kagera,Karagwe,Ndama,
Kagera,Karagwe,Nkwenda,
Kagera,Karagwe,Nyabiyonza,
Kagera,Karagwe,Nyaishozi,
Kagera,Karagwe,Nyakahanga,
Kagera,Karagwe,Nyakakika,
Kagera,Karagwe,Nyakasimbi,
Kagera,Karagwe,Rugu,
Kagera,Karagwe,Rwabere,
Kagera,Misenyi,Bugandika,
Kagera,Misenyi,Bugorora,
Kagera,Misenyi,Buyango,
Kagera,Misenyi,Bwanjai,
Kagera,Misenyi,Gera,
Kagera,Misenyi,Ishozi,
Kagera,Misenyi,Ishunju,
Kagera,Misenyi,Kakunyu,
Kagera,Misenyi,Kanyigo,
Kagera,Misenyi,Kashenye,
Kagera,Misenyi,Kassambya,
Kagera,Misenyi,Kilimilire,
Kagera,Misenyi,Kitobo,
Kagera,Misenyi,Kyaka,
Kagera,Misenyi,Minziro,
Kagera,Misenyi,Nsunga,
Kagera,Misenyi,Ruzinga,
Kagera,Muleba,Biirabo,
Kagera,Muleba,Buganguzi,
Kagera,Muleba,Bulyakashaju,
Kagera,Muleba,Bureza,
Kagera,Muleba,Burungura,
Kagera,Muleba,Ijumbi,
Kagera,Muleba,Ikondo,
Kagera,Muleba,Izigo,
Kagera,Muleba,Kagoma,
Kagera,Muleba,Kamachumu,
Kagera,Muleba,Karambi,
Kagera,Muleba,Kasharunga,
Kagera,Muleba,Kashasha,
Kagera,Muleba,Kibanga,
Kagera,Muleba,Kibirizi,
Kagera,Muleba,Kimwani,
Kagera,Muleba,Kishanda,
Kagera,Muleba,Kyebitembe,
Kagera,Muleba,Magata/Karutanga,
Kagera,Muleba,Manyondwe,
Kagera,Muleba,Mubunda,
Kagera,Muleba,Muhutwe,
Kagera,Muleba,Muleba,
Kagera,Muleba,Ngenge,
Kagera,Muleba,Nshamba,
Kagera,Muleba,Ruhanga,
Kagera,Muleba,Rushwa,
Kagera,Ngara,Bugarama,
Kagera,Ngara,Bukiriro,
Kagera,Ngara,Kabanga,
Kagera,Ngara,Kanazi,
Kagera,Ngara,Keza,
Kagera,Ngara,Kibimba,
Kagera,Ngara,Kirushya,
Kagera,Ngara,Mabawe,
Kagera,Ngara,Muganza,
Kagera,Ngara,Mugoma,
Kagera,Ngara,Murusagamba,
Kagera,Ngara,Ngara Urban,
Kagera,Ngara,Ntobeye,
Kagera,Ngara,Nyakisasa,
Kagera,Ngara,Nyamiyaga,
Kagera,Ngara,Rulenge,
Kagera,Ngara,Rusumo,
Kigoma,Kasulu,Buhigwe,1332.6363636363637
Kigoma,Kasulu,Buhoro,1377.6315789473683
Kigoma,Kasulu,Heru- Ushingo,1265.7857142857142
Kigoma,Kasulu,Janda,1341.171875
Kigoma,Kasulu,Kagera Nkanda,1113.2307692307693
Kigoma,Kasulu,Kigondo,1282.0
Kigoma,Kasulu,Kilelema,1244.0
Kigoma,Kasulu,Kitagata,1223.888888888889
Kigoma,Kasulu,Kitanga,1211.6
Kigoma,Kasulu,Msambara,1593.35
Kigoma,Kasulu,Muhinda,1613.698795180723
Kigoma,Kasulu,Muhunga,1591.525
Kigoma,Kasulu,Munyegera,1360.6781609195402
Kigoma,Kasulu,Munzenze,1072.7209302325582
Kigoma,Kasulu,Murufiti,1222.406976744186
Kigoma,Kasulu,Muyama,1269.8
Kigoma,Kasulu,Muzye,1338.952380952381
Kigoma,Kasulu,Nyakitonto,1330.84
Kigoma,Kasulu,Nyamidaho,1214.111111111111
Kigoma,Kasulu,Nyamnyusi,1476.5
Kigoma,Kasulu,Ruhita,1256.945945945946
Kigoma,Kasulu,Rungwe Mpya,1225.6363636363637
Kigoma,Kasulu,Rusaba,1516.6666666666667
Kigoma,Kasulu,Rusesa,1239.2857142857142
Kigoma,Kasulu,Titye,1154.695652173913
Kigoma,Kibondo,Bunyambo,1333.138888888889
Kigoma,Kibondo,Busagara,1346.4561403508771
Kigoma,Kibondo,Gwanumpu,1353.4705882352941
Kigoma,Kibondo,Itaba,1321.591836734694
Kigoma,Kibondo,Kakonko,1258.6
Kigoma,Kibondo,Kasanda,1324.8666666666666
Kigoma,Kibondo,Kasuga,1292.5714285714287
Kigoma,Kibondo,Kazazi,1268.1842105263158
Kigoma,Kibondo,Kibondo Urban,1439.409090909091
Kigoma,Kibondo,Kitahana,1419.8837209302326
Kigoma,Kibondo,Kumsenga,1243.2285714285715
Kigoma,Kibondo,Mabamba,1257.9298245614036
Kigoma,Kibondo,Misezero,1391.878787878788
Kigoma,Kibondo,Mugunzu,1288.09375
Kigoma,Kibondo,Muhange,1406.3076923076924
Kigoma,Kibondo,Murungu,1305.607142857143
Kigoma,Kibondo,Nyabibuye,1396.3
Kigoma,Kibondo,Nyamtukuza,1365.7714285714285
Kigoma,Kibondo,Rugenge,1350.8
Kigoma,Kibondo,Rugongowe,1312.623188405797
Kigoma,Kigoma Rural,Bitale,1051.4814814814815
Kigoma,Kigoma Rural,Ilagala,855.3333333333334
Kigoma,Kigoma Rural,Kagongo,944.8938053097345
Kigoma,Kigoma Rural,Kalinzi,1490.8382352941176
Kigoma,Kigoma Rural,Kandaga,1076.063829787234
Kigoma,Kigoma Rural,Mahembe,990.019801980198
Kigoma,Kigoma Rural,Matendo,1023.6117647058824
Kigoma,Kigoma Rural,Mganza,1101.0
Kigoma,Kigoma Rural,Mkigo,1586.1636363636364
Kigoma,Kigoma Rural,Mngonya,824.1851851851852
Kigoma,Kigoma Rural,Mtego wa Noti,1089.0555555555557
Kigoma,Kigoma Rural,Mwamgongo,1059.452380952381
Kigoma,Kigoma Rural,Mwandiga,890.0487804878048
Kigoma,Kigoma Rural,Nguruka,1072.45
Kigoma,Kigoma Rural,Simbo,824.3809523809524
Kigoma,Kigoma Rural,Sunuka,784.8125
Kigoma,Kigoma Rural,Uvinza,1111.341463414634
Kigoma,Kigoma Urban,Bangwe,821.2222222222222
Kigoma,Kigoma Urban,Buhanda businde,829.8181818181819
Kigoma,Kigoma Urban,Gungu,818.875
Kigoma,Kigoma Urban,Kasimbu,823.0
Kigoma,Kigoma Urban,Kasingirima,814.375
Kigoma,Kigoma Urban,Kitongoni,827.4
Kigoma,Kigoma Urban,Machinjioni,818.0
Kigoma,Kigoma Urban,Majengo,823.6666666666666
Kigoma,Kigoma Urban,Mwanga Kaskazini,864.0
Kigoma,Kigoma Urban,Rubuga,842.6
